file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00677_0349_2693387_to_2698728,ཆེ་རུ་ཞེ་བོ་བཏང་ཡ་ལ། ཕན་ཐོགས་ཡོད་མཁན་དེ་ག་རེ་རེད། གཞན་གཅེས་འཛིན། ཁོ་མཐུན་རྐྱེན་དེ་ཡག་སྡུག ,che ru zhe bo btang ya la/_phan thogs yod mkhan de ga re red/_gzhan gces 'dzin/_kho mthun rkyen de yag sdug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00677_0349_2693387_to_2698728.wav,STT_TT,3,90,5.341,wav16k/STT_TT00677_0349_2693387_to_2698728.wav,ཆོས་རུ་ཞེ་བོ་བཏང་ཡ་ལ། ཕན་ཐོགས་ཡོད་མཁན་དེ་ག་ར་རེད། གཞན་གཅེས་འཛིན། ཁོ་མཐུན་རྐྱེན་དེ་ཡར་འདུག
STT_AB00206_0108_477790_to_486049,ཉམས་དགའ་ཞིང་སྤྲོ་སྣང་གིས་ཁེངས་པའི་ཡུལ་མི་རྣམས་ཕེབས་བསུར་ཡོང་མེད་ལ། སྲང་ལམ་གཡས་གཡོན་དུ་དགའ་བསུའི་རྣམ་པ་མཚོན་པའི་དར་ཆ་སོགས་མེད་ཅིང་།  ,nyams dga' zhing spro snang gis khengs pa'i yul mi rnams phebs bsur yong med la/_srang lam g.yas g.yon du dga' bsu'i rnam pa mtshon pa'i dar cha sogs med cing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00206_0108_477790_to_486049.wav,STT_AB,3,132,8.259,wav16k/STT_AB00206_0108_477790_to_486049.wav,ཉམས་དགའ་ཞིང་སྤྲོ་སྣང་གིས་ཁེངས་པའི་ཡུལ་མི་རྣམས་ཕེབས་བསུར་ཡོང་མེད་ལ། སྲང་ལམ་གཡས་གཡོན་དུ་དགའ་བསུའི་རྣམ་པ་མཚོན་པའི་དར་ཆ་སོགས་མེད་ཅིང་།
STT_NS_M0482_0265_1835059_to_1840093,ལས་ཀ་ཏག་ཏག་བྱེད་ཐུབ་ཡ་ཀ་ཅི་ནུས་པ་དེ་ཡོད་རེད་ད་རག་གི་རེད་བསམ་གི་འདུག་རཱ། ཨེ་ནས་གཉིད་ཏག་ཏག་ཁུག་བ་ཡིན་ན།  ,las ka tag tag byed thub ya ka ci nus pa de yod red da rag gi red bsam gi 'dug rA/_e nas gnyid tag tag khug ba yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0482_0265_1835059_to_1840093.wav,STT_NS,3,103,5.034,wav16k/STT_NS_M0482_0265_1835059_to_1840093.wav,ལས་ཀ་ཏག་ཏག་བྱེད་ཐུབ་ཡ་ཀ་ཅི་ནུས་པ་དེ་ཡོད་རེད། ད་རག་གི་རེད་བསམ་གི་འདུག་རཱ། ཨེ་ནས་གཉིད་ཏག་ཏག་ཁུག་བ་ཡིན་ན།
STT_TT00677_0330_2562745_to_2566777,སེམས་ཅན་ཐམས་ཅད་ལ་དམིགས་ནས་སྙིང་རྗེ་ཆེན་པོ་སྐྱེ་ཡོང་དུས། སེམས་ཅན་ཐམས་ཅད་ཡིད་དུ་འོང་བ་མཐོང་དགོས་རེད།  ,sems can thams cad la dmigs nas snying rje chen po skye yong dus/_sems can thams cad yid du 'ong ba mthong dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00677_0330_2562745_to_2566777.wav,STT_TT,3,100,4.032,wav16k/STT_TT00677_0330_2562745_to_2566777.wav,སེམས་ཅན་ཐམས་ཅད་ལ་དམིགས་ནས། སྙིང་རྗེ་ཆེན་པོ་སྐྱེ་ཡོང་དུས། སེམས་ཅན་ཐམས་ཅད་ཡིད་དུ་འོང་བ་མཐོང་དགོས་རེད།
STT_MV0409_0100_762151_to_763804,ཤེས་ཡོན་འཇོན་ཐང་དང་ ,shes yon 'jon thang dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0409_0100_762151_to_763804.wav,STT_MV,3,20,1.653,wav16k/STT_MV0409_0100_762151_to_763804.wav,ཤེས་ཡོན་འཇོན་ཐང་དང་
STT_TT00677_0547_4289121_to_4297994,རང་ཕུན་སུམ་ཚོགས་པ་ཞིག་འདོད། གཏམ་བཟང་བ་ཞིག་འདོད། ད་འདི་ཚོ་གཅིག་པ་རེད་ད། གཟིགས་ཨ་ཡག་པོ་ཉན་ཨ། དེ་ཡང་རང་གཅེས་པར་བཟུང་ནས་རང་བདེ་བར་འདོད་ལབ་རེད།  ,rang phun sum tshogs pa zhig 'dod/_gtam bzang ba zhig 'dod/_da 'di tsho gcig pa red da/_gzigs a yag po nyan a/_de yang rang gces par bzung nas rang bde bar 'dod lab red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00677_0547_4289121_to_4297994.wav,STT_TT,3,140,8.873,wav16k/STT_TT00677_0547_4289121_to_4297994.wav,རང་ཕུན་སུམ་ཚོགས་པ་ཞིག་འདོད། གཏམ་བཟང་བ་ཞིག་འདོད། ད་དེ་ཚོ་གཅིག་པ་རེད་ད། གཟིགས་ཨ་ཡག་པོ་ཉན་ཨ། དེ་ཡང་རང་གཅེས་པར་བཟུང་ནས་རང་བདེ་བར་འདོད་ལབ་རེད།
STT_AB00206_0113_507500_to_516578,གསེར་བཟོ་བ་དག་གིས་ཀྱང་རྡོ་རྗེ་ཕ་ལམ་དང་། གསེར་དངུལ་སོགས་ཀྱིས་རྒྱུ་ཆ་བྱས་པའི་སྐེ་རྒྱན་དང་། སྙན་རྒྱན། གདུ་བུ། སོར་གདུབ་སོགས་བཟོ་སྐྲུན་བྱེད་ཅིང་།  ,gser bzo ba dag gis kyang rdo rje pha lam dang /_gser dngul sogs kyis rgyu cha byas pa'i ske rgyan dang /_snyan rgyan/_gdu bu/_sor gdub sogs bzo skrun byed cing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00206_0113_507500_to_516578.wav,STT_AB,3,143,9.078,wav16k/STT_AB00206_0113_507500_to_516578.wav,གསེར་བཟོ་བ་དག་གིས་ཀྱང་རྡོ་རྗེ་ཕ་ལམ་དང་། གསེར་དངུལ་སོགས་ཀྱི་རྒྱུ་ཆ་བྱས་པའི་རྐྱེ་རྒྱན་དང་། གཉན་རྒྱན། མདུ་པོ། གསོར་གདུབ་སོགས་བཟོ་སྐྲུན་བྱེད་ཅིང་།
STT_TT00697_0342_3428042_to_3430858,དེ་འདྲའི་ཐོག་ནས་དཔེ་སྦྱོར་དངོས་མཇུག་གསུམ་གང་གི་ཐོག་ནས།  ,de 'dra'i thog nas dpe sbyor dngos mjug gsum gang gi thog nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00697_0342_3428042_to_3430858.wav,STT_TT,3,56,2.816,wav16k/STT_TT00697_0342_3428042_to_3430858.wav,དེ་འདྲའི་ཐོག་ནས་དཔེ། སྦྱོར་དངོས་མཇུ་གསུམ། གང་གི་ཐོག་ནས་
STT_TT00697_0359_3534795_to_3537963,ཨ་ནས་ཆོས་ལུགས་རིས་མེད་ཀི་ད་མཁས་དབང་མང་པོ་ཕེབས་བསྡད་ཡོད་རེད།  ,a nas chos lugs ris med ki da mkhas dbang mang po phebs bsdad yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00697_0359_3534795_to_3537963.wav,STT_TT,3,61,3.168,wav16k/STT_TT00697_0359_3534795_to_3537963.wav,ཨེ་ནས་ ཆོས་ལུགས་རིས་མེད་ཀི། ད་མཁས་དབང་མང་པོ་ཕེབས་བསྡད་ཡོད་རེད།
STT_TT00677_0332_2573199_to_2577209,རང་གཅེས་འཛིན་གི་བློ་དེ་ཡོད་ན། སེམས་ཅན་ཐམས་ཅད་ལ་ཡིད་འོང་ཁྱོན་ནས་མཐོང་གི་མི་འདུག་གཱ།  ,rang gces 'dzin gi blo de yod na/_sems can thams cad la yid 'ong khyon nas mthong gi mi 'dug gA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00677_0332_2573199_to_2577209.wav,STT_TT,3,84,4.01,wav16k/STT_TT00677_0332_2573199_to_2577209.wav,རང་གཅེས་འཛིན་གི་བློ་དེ་ཡོད་ན། སེམས་ཅན་ཐམས་ཅད་ལ་ཡིད་འོང་ཁྱོན་ནས་མཐོང་གི་མི་འདུག་ག།
